,F1DLOT,F1ROLL,CLAIM_NUM,CLAIM,Claims,DIM_DIVISION_CUSTOMER_GK,F1GROL,F1GROL_count,F1PROL,INVENTORY_BACKING_CD,INVENTORY_COLOR_CD,INVENTORY_SIZE_CD,INVENTORY_STYLE_CD,claimRatio,dollarClaims,dollarPerClaim,dollarPerSale,dollarSales,numClaims,numSales,F1ROLL_count,F1DLOT_count
11,K50693,04981924,6985602,1184.4,1,328291,4735135,2,04769665,1,2,1,5,0.026733098477262254,4610.7,768.4499999999999,746.6302597402597,172471.59,6.0,231.0,1,2
12,P46320,06832319,7087201,736.74,1,261619,4929899,1,06686379,1,6,1,7,0.001895482780035236,736.74,736.74,2922.420902255639,388681.98,1.0,133.0,1,1
13,K45116,03478406,6974097,1285.19,1,240559,4598858,1,03399491,1,8,1,9,0.015631427246037808,1285.19,1285.19,967.2745882352941,82218.34,1.0,85.0,1,3
14,K68189$,09446221,7092351,164.83,0,232904,5168117,1,09289196,1,9,1,10,0.00021771479063915425,164.83,164.83,1312.1168457538995,757091.42,1.0,577.0,1,1
15,K53932$,05804700,7029187,876.15,0,250754,4817217,1,05637297,1,10,1,1,0.008591383381364394,1485.05,742.525,738.6898290598291,172853.42,2.0,234.0,1,1
16,K68624$,09350232,7076180,851.58,1,250451,5175687,1,09349810,1,10,1,1,0.020117121466738025,1612.51,806.255,742.1861111111111,80156.1,2.0,108.0,1,1
17,K76479$,11082868,7109800,760.93,1,250451,5324448,2,11050342,1,10,1,1,0.020117121466738025,1612.51,806.255,742.1861111111111,80156.1,2.0,108.0,1,2
18,A40522,07355902,7107984,963.42,0,254834,4949287,1,06950228,1,11,1,11,0.0026990999442177044,963.42,963.42,824.3445958429562,356941.21,1.0,433.0,1,1
19,K47889,04179156,6964563,753.6,0,331896,4679021,1,04026196,1,12,1,12,0.0014455392511669334,753.6,753.6,20051.074615384616,521327.94,1.0,26.0,1,1
20,K57102,07797293,7038198,510.0,1,253980,4901260,1,06513887,1,10,1,13,0.009046880937015615,510.0,510.0,1523.595135135135,56373.02,1.0,37.0,1,3
21,A42194,07537560,7050694,232.2,1,232904,5008692,1,,1,2,1,14,0.0002542977162805636,232.2,232.2,1571.605800344234,913102.97,1.0,581.0,1,1
22,KK62916$,08147853,7063829,635.8,1,269723,4814089A,1,,1,13,1,15,0.006038440304490109,635.8,635.8,3899.707037037037,105292.09,1.0,27.0,1,1
23,A30668,03029499,6998625,861.84,1,269252,4580476,1,,1,14,1,16,0.01161777175063256,861.84,430.92,3225.3434782608692,74182.9,2.0,23.0,1,1
24,A32194,03813299,7146545,259.2,1,255872,4640612,1,03648378,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,1
25,A53931,10953669,7119863,282.74,1,255872,5323464,1,10946803,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,2
26,A45128,08328672,7101120,1118.46,1,255872,5081147,1,,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,2
27,A38041,06117318,7008987,108.0,1,255872,4874015,2,06072256,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,2,2
28,P37949,05480828,6998906,259.2,1,255872,4820027,1,05383916,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,1
29,A38041,06117318,7008987,1090.8,1,255872,4874015,2,06072256,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,2,2
30,A53931,10951125,7119858,200.88,1,255872,5323142,1,10946606,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,2
31,A38267,06188744,7012439,1238.76,1,255872,4890900,1,06162923,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,2
32,A40193,06882675,7018454,416.66,1,255872,4938535,2,06808256,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,2,2
33,A40193,06882675,7018454,699.34,1,255872,4938535,2,06808256,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,2,2
34,A40497,07087166,7020705,903.96,1,255872,4962331,1,06921953,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,1
35,A34399,04539782,7020848,502.2,1,255872,4721951,1,04454888,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,1
36,A43294,07825739,7045696,1238.76,1,255872,5036965,1,07793808,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,1
37,A45002,08276906,7061213,185.98,1,255872,5081142,1,,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,2
38,A52737,10864763,7109452,870.48,1,255872,5271448,1,10699069,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,4
39,P38915,05592187,6998894,780.62,1,255872,4832699,1,05540766,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,1
40,P38834,05630373,7002588,176.42,1,255872,4833342,1,05537845,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,1
41,A38267,06608455,7008993,825.84,1,255872,4892407,1,06164094,1,16,1,18,0.01750379706853457,14000.48,608.7165217391304,722.5418970189702,799853.88,23.0,1107.0,1,2
42,K56599,06959295,7100974,442.79,0,380207,4906401,1,06371132,1,10,1,19,0.018353416084239193,6901.77,766.8633333333333,709.525,376048.25,9.0,530.0,1,1
43,K68052,09288446,7088095,843.5,1,380207,5154534C,1,,1,10,1,19,0.018353416084239193,6901.77,766.8633333333333,709.525,376048.25,9.0,530.0,1,2
44,K49984,04661845,7063860,676.54,1,380207,4737476B,1,04607240,1,10,1,19,0.018353416084239193,6901.77,766.8633333333333,709.525,376048.25,9.0,530.0,1,2
45,K63518,08300930,7048251,755.44,1,380207,5074513A,1,08248391,1,10,1,19,0.018353416084239193,6901.77,766.8633333333333,709.525,376048.25,9.0,530.0,1,2
46,K63518,08301390,7048251,524.88,1,380207,5074513B,1,08248441,1,10,1,19,0.018353416084239193,6901.77,766.8633333333333,709.525,376048.25,9.0,530.0,1,2
47,K50353,04714695,6968179,932.86,1,380207,4754172B,1,,1,10,1,19,0.018353416084239193,6901.77,766.8633333333333,709.525,376048.25,9.0,530.0,1,2
48,K50353,05064455,6968179,95.14,1,380207,4750206,1,04714066,1,10,1,19,0.018353416084239193,6901.77,766.8633333333333,709.525,376048.25,9.0,530.0,1,2
49,P18235,02481500,7014397,268.32,0,232904,4509286,1,,1,17,1,14,0.00013561937637578898,268.32,268.32,1968.6351741293533,1978478.35,1.0,1005.0,1,1
50,K53892,05607288,6996764,1224.72,1,227375,4837391,2,,1,18,1,21,0.019558392875474232,2126.25,2126.25,4529.705,108712.92,1.0,24.0,1,2
51,K53892,05607441,6996764,901.53,1,227375,4837391,2,,1,18,1,21,0.019558392875474232,2126.25,2126.25,4529.705,108712.92,1.0,24.0,1,2
52,K35970$,00408372,6985104,887.99,1,279975,4332951,1,00407006,1,19,1,1,0.010339464666387745,2491.05,830.35,546.3183673469388,240926.4,3.0,441.0,1,1
53,L107174,97067453,6963752,550.42,0,284229,3983160,1,96997024,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,1
54,L127706,03472466,6976670,2026.35,0,284229,4601390,1,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,2
55,L85305,90570547,6963719,2956.97,1,284229,3254451,1,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,1
56,L127706,03472518,6997226,59.72,1,284229,4601389,1,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,2
57,L120679,01775247,7002747,660.44,1,284229,4441522,1,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,1
58,L129340-1,04671760,7002738,660.44,1,284229,4654150,1,04401248,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,1
59,L137777,07079863,7041179,326.76,1,284229,4966404,2,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,2
60,P61455,09011689,7082110,56.78,1,284229,5011843,1,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,1
61,P51377,07455712,7082107,70.01,1,284229,4966410,1,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,1
62,L137777,07079875,7082101,40.99,1,284229,4966404,2,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,2
63,L137436,06796497,7082091,71.7,1,284229,4929414,1,,4,20,1,22,0.08868100017488818,14532.7,908.29375,2445.912537313433,163876.14,16.0,67.0,1,1
64,C8554,12433553,7147184,3843.47,1,321365,K364121,1,05937684,5,21,1,24,0.9985684519015426,3843.47,3843.47,1282.9933333333333,3848.98,1.0,3.0,1,1
65,A52773$,10916374,7149671,189.18,1,312953,5285074,4,10844327,1,23,1,27,0.02801486744500247,729.68,729.68,813.9428125,26046.17,1.0,32.0,1,4
66,A52773$,10916369,7149671,153.14,1,312953,5285074,4,10844327,1,23,1,27,0.02801486744500247,729.68,729.68,813.9428125,26046.17,1.0,32.0,1,4
67,A52773$,10916377,7149671,189.18,1,312953,5285074,4,10844327,1,23,1,27,0.02801486744500247,729.68,729.68,813.9428125,26046.17,1.0,32.0,1,4
68,A52773$,10916382,7149671,198.18,1,312953,5285074,4,10844327,1,23,1,27,0.02801486744500247,729.68,729.68,813.9428125,26046.17,1.0,32.0,1,4
69,P15937,02165360,7149398,409.03,1,180495,4482095,1,,6,24,1,28,0.02084032842763867,409.03,409.03,3925.37,19626.85,1.0,5.0,1,1
70,P42305,06932947,7040525,2203.26,0,276673,4884592,1,06100566,6,25,1,29,0.13948161756792518,2203.26,2203.26,1436.0054545454545,15796.06,1.0,11.0,1,1
71,629371,03926201,6958952,918.54,1,228961,4663571,1,,1,20,1,30,0.002811473428415661,1321.92,1321.92,714.5708510638298,470187.62,1.0,658.0,1,2
72,629371,04337306,6958952,403.38,1,228961,4663573,1,03926323,1,20,1,30,0.002811473428415661,1321.92,1321.92,714.5708510638298,470187.62,1.0,658.0,1,2
73,A30712$,03820892,7008875,108.35,1,227049,4573662,1,03048661,1,26,1,31,0.00029982480371674384,136.11,68.055,7826.984655172413,453965.11,2.0,58.0,1,1
74,847553,10666497,7066965,257.27,1,61629,5255237,1,10206376,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,1
75,655677A,04456281,7011200,578.4,1,61629,4703148,2,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,16
76,655677A,04456285,7011200,1571.3,1,61629,4703148,2,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,16
77,655677A,04456377,7011200,1446.0,1,61629,4703621,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,16
78,655677A,04456398,7011200,1446.0,1,61629,4703621,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,16
79,655677A,04456426,7011200,1446.0,1,61629,4703621,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,16
80,728958A,06522721,7011200,1451.64,1,61629,4903799,1,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,1
81,655677A,04456477,7011200,1446.0,1,61629,4703621,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,1,16
82,655677A,04456572,7011200,920.6,1,61629,4703622,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
83,655677A,04456577,7011200,1447.59,1,61629,4703622,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
84,655677A,05465753,7011200,1329.52,1,61629,4703147,4,04456125,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
85,655677A,05465768,7011200,1330.32,1,61629,4703147,4,04456125,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
86,655677A,05465780,7011200,1497.41,1,61629,4703620,2,04456354,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
87,655677A,04456572,7011200,920.6,0,61629,4703622,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
88,655677A,04456577,7011200,1447.59,0,61629,4703622,4,,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
89,655677A,05465753,7011200,1321.5,0,61629,4703147,4,04456125,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
90,655677A,05465768,7011200,1330.32,0,61629,4703147,4,04456125,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
91,655677A,05465780,7011200,1497.41,0,61629,4703620,2,04456354,1,27,1,32,0.09686315481776078,22685.47,11342.735,2129.102090909091,234201.23,2.0,110.0,2,16
92,XK54370,05739984,7007976,710.39,1,227531,4811648,5,,1,28,1,34,0.03354468742009111,1416.78,1416.78,1624.4461538461537,42235.6,1.0,26.0,1,5
93,XK54370,05740036,7007976,706.39,1,227531,4811648,5,,1,28,1,34,0.03354468742009111,1416.78,1416.78,1624.4461538461537,42235.6,1.0,26.0,1,5
94,K68196$,10099733,7108050,495.36,0,244199,5167692,1,09716495,1,29,1,1,0.005696403523251798,1490.44,745.22,822.7855031446541,261645.79,2.0,318.0,1,2
95,K77468$,11194853,7115453,102.6,1,260217,5336991,1,11050153,1,19,1,1,0.0028094814577777323,616.68,308.34,528.9146506024096,219499.58,2.0,415.0,1,1
96,K51378,05050487,7014616,277.42,1,251961,4735150,1,04988767,1,29,1,35,0.009349501569989658,277.42,138.71,417.91788732394366,29672.17,2.0,71.0,1,1
97,A32338,03683732,6984924,1032.37,0,232904,4638362,2,,1,30,1,36,0.011878432939180504,6456.72,1291.344,1759.115372168285,543566.65,5.0,309.0,1,2
98,A32338,03883802,6984924,1361.77,0,232904,4638362,2,03683732,1,30,1,36,0.011878432939180504,6456.72,1291.344,1759.115372168285,543566.65,5.0,309.0,1,2
99,A23035,00116937,7061589,216.56,1,232904,4290829,1,,1,30,1,36,0.011878432939180504,6456.72,1291.344,1759.115372168285,543566.65,5.0,309.0,1,1
100,A21720,99618161,6978470,485.64,1,232904,4248781,1,,1,30,1,36,0.011878432939180504,6456.72,1291.344,1759.115372168285,543566.65,5.0,309.0,1,1
101,A0189,07349759,7035805,1439.91,1,105518,K366191,1,,5,31,1,37,0.001136919184225606,1439.91,1439.91,23027.30236363636,1266501.63,1.0,55.0,1,1
102,K36884,00647097,7050525,447.52,1,325106,4356183,1,,1,9,1,15,0.0027461502444559712,1492.31,497.43666666666667,581.196705882353,543418.92,3.0,935.0,1,1
103,K703272,11023823,7131932,174.96,1,407500,5069058,3,09768663,1,32,1,38,1.0593522886650517,1163.19,1163.19,366.00666666666666,1098.02,1.0,3.0,1,3
104,K703272,11023829,7131932,495.72,1,407500,5069058,3,09768663,1,32,1,38,1.0593522886650517,1163.19,1163.19,366.00666666666666,1098.02,1.0,3.0,1,3
105,K703272,11023826,7131932,492.51,1,407500,5069058,3,09768663,1,32,1,38,1.0593522886650517,1163.19,1163.19,366.00666666666666,1098.02,1.0,3.0,1,3
106,P78566,11319774,7127002,2279.77,1,295190,5160971A,1,11269972,7,33,1,39,0.6672764471554471,2279.77,2279.77,854.1325,3416.53,1.0,4.0,1,1
107,A43429,07945500,7050636,104.4,1,242664,5017659,1,07793556,1,34,1,40,0.0004227363994382789,104.4,104.4,5743.311860465116,246962.41,1.0,43.0,1,1
108,839949R,09286198,7104277,175.57,1,251752,5177489,1,,1,2,1,2,0.0023926157475735194,175.57,175.57,1384.5271698113208,73379.94,1.0,53.0,1,1
109,K33442$,99547142,7117739,890.15,0,242851,4239902,1,,1,12,1,15,0.001048805417522114,890.15,890.15,3984.6361502347418,848727.5,1.0,213.0,1,1
110,K66699$,09314967,7069409,7.68,1,297838,5140225,1,08920323,1,1,1,1,0.005540751444676632,1210.58,605.29,627.8350862068966,218486.61,2.0,348.0,1,2
111,K30647$,98913346,7069409,215.06,1,297838,4168778,1,98845760,1,1,1,1,0.005540751444676632,1210.58,605.29,627.8350862068966,218486.61,2.0,348.0,1,1
112,K55830$,06201030,7011124,987.84,1,297838,4893658,1,,1,1,1,1,0.005540751444676632,1210.58,605.29,627.8350862068966,218486.61,2.0,348.0,1,1
113,A52582,10670516,7138270,2250.0,1,242625,5218833,3,,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
114,A52582,10697577,7138270,1810.01,1,242625,5218832,5,10670500,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
115,A52582,10670498,7138270,1949.96,1,242625,5218832,5,,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
116,A52582,10670539,7138270,2610.0,1,242625,5218834,3,,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
117,A52582,10717136,7138270,2280.04,1,242625,5218833,3,10670516,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
118,A52582,10670500,7138270,486.23,1,242625,5218832,5,,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
119,A52582,10670545,7138270,2200.05,1,242625,5218834,3,,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
120,A52582,10718643,7138270,2817.45,1,242625,5218834,3,10670534,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
121,A52582,10670491,7138270,2516.29,1,242625,5218832,5,,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
122,A52582,10670529,7138270,2173.73,1,242625,5218833,3,,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
123,A52582,10716839,7138270,2250.0,1,242625,5218832,5,10670491,1,35,1,41,1.1771603135966338,23343.76,23343.76,6610.19,19830.57,1.0,3.0,1,11
124,A42993$,07739206,7050118,417.6,1,249976,5021615,1,07690377,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,2
125,XA47797$,09556640,7073886,95.04,1,249976,5121562A,1,09369791,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,1
126,A35481$,04873468,6968591,1246.06,1,249976,4767774,1,04798798,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,1
127,LL135425,05520410,6988941,1251.82,1,249976,4800587,1,,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,3
128,A32149$,03963278,6995092,122.86,1,249976,4642980,1,03656545,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,1
129,A42993$,07763263,7043419,776.18,1,249976,5019714,1,07689854,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,2
130,A44750$,08388694,7050265,988.0,1,249976,5065121,1,08188141,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,2
131,A44016$,08076248,7055659,788.06,1,249976,5051811,1,07952032,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,1
132,L135757,05822143,6997227,335.35,0,249976,4836036,1,05755200,1,23,1,31,0.006996085965832265,6216.81,621.681,2261.1007124681933,888612.58,10.0,393.0,1,1
133,CR0H0003,98313141,7028266,670.5,0,269118,4128736,1,,1,20,1,30,0.03772315877669648,4437.03,554.62875,488.0533195020747,117620.85,8.0,241.0,1,1
134,624850,03797359,7015385,531.99,1,269118,4650751,1,03793562,1,20,1,30,0.03772315877669648,4437.03,554.62875,488.0533195020747,117620.85,8.0,241.0,1,1
135,849329,09951741,7080789,739.47,1,269118,5225582,1,09938135,1,20,1,30,0.03772315877669648,4437.03,554.62875,488.0533195020747,117620.85,8.0,241.0,1,1
136,K82116,11929187,7142087,48.75,1,267525,5422327,1,,1,8,1,7,0.003297112565217792,325.52,108.50666666666666,1763.0144642857142,98728.81,3.0,56.0,1,1
137,K53712R,05657135,6994432,90.29,1,267525,4808761,1,05545949,1,8,1,7,0.003297112565217792,325.52,108.50666666666666,1763.0144642857142,98728.81,3.0,56.0,1,1
138,A37264$,05823063,6988676,1133.38,1,285070,4840431,1,,1,36,1,42,0.015887466078904018,2282.52,1141.26,1890.3680263157894,143667.97,2.0,76.0,1,1
139,K32894$,99387591,7059910,380.65,1,251752,4229350,1,,1,9,1,15,0.005261427934816623,380.65,380.65,1365.0430188679245,72347.28,1.0,53.0,1,1
140,K74283,11472136,7132855,798.0,1,94389,5273318,1,10492064,1,24,1,9,2.432037059612337,798.0,798.0,109.37333333333333,328.12,1.0,3.0,1,1
141,K69565,10502653,7096070,179.57,1,321405,5193192,4,09549939,1,1,1,1,0.026595990971127442,2062.08,1031.04,816.142,77533.49,2.0,95.0,2,7
142,K69565,10502653,7096070,875.05,1,321405,5193192,4,09549939,1,1,1,1,0.026595990971127442,2062.08,1031.04,816.142,77533.49,2.0,95.0,2,7
143,K82881$,12415183,7141790,757.62,1,380797,5437904,1,12050481,1,10,1,1,0.004195477509821677,757.62,757.62,1026.0236363636363,180580.16,1.0,176.0,1,2
144,817493,08648823,7051956,878.56,1,292576,5107919,2,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
145,817493,08648816,7051956,859.55,1,292576,5107919,2,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
146,817493,08648778,7051956,781.68,1,292576,5107917,1,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
147,817493,08648150,7051956,923.78,1,292576,5106662,1,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
148,817493,08648147,7051956,626.99,1,292576,5106661,2,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
149,817493,08648143,7051956,729.21,1,292576,5106661,2,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
150,817493,08648054,7051956,684.38,1,292576,5106659,1,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
151,817493,08647790,7051956,923.02,1,292576,5105141,2,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
152,817493,08647752,7051956,834.48,1,292576,5105141,2,,1,9,1,15,0.03861609892427477,7241.65,7241.65,6250.9766666666665,187529.3,1.0,30.0,1,12
153,A31132,03684712,7146988,938.37,1,244592,4595206,1,03209727,1,37,1,43,0.032081728640087924,3339.57,834.8925,1040.9569999999999,104095.7,4.0,100.0,1,2
154,A31132,03952214,6983187,993.6,1,244592,4595204,1,03209706,1,37,1,43,0.032081728640087924,3339.57,834.8925,1040.9569999999999,104095.7,4.0,100.0,1,2
155,A31972,03543028,7078197,314.64,1,244592,4606089,1,,1,37,1,43,0.032081728640087924,3339.57,834.8925,1040.9569999999999,104095.7,4.0,100.0,1,1
156,K54405,05823147,7010000,288.16,1,325106,4847911A,1,,1,6,1,19,0.00990192402762508,1367.82,1367.82,570.8131818181819,138136.79,1.0,242.0,1,2
157,K54405,06281430,7010000,1079.66,1,325106,4847912C,1,05845352,1,6,1,19,0.00990192402762508,1367.82,1367.82,570.8131818181819,138136.79,1.0,242.0,1,2
158,K51784$,05572556,7144378,184.78,1,267770,4782960,1,05061969,1,38,1,1,0.0008959368261260958,184.78,184.78,841.8049795918367,206242.22,1.0,245.0,1,1
159,K73623,10380368,7146676,117.62,1,244199,5243858A,1,,1,39,1,45,0.016652053384939153,2631.33,657.8325,827.3212041884817,158018.35,4.0,191.0,1,1
160,K8306,92655067,7025904,1069.78,0,244199,3473076,1,92451442,1,39,1,45,0.016652053384939153,2631.33,657.8325,827.3212041884817,158018.35,4.0,191.0,1,1
