,CLAIM_NUM,INVENTORY_STYLE_CD,INVENTORY_SIZE_CD,INVENTORY_BACKING_CD,INVENTORY_COLOR_CD,DIM_DIVISION_CUSTOMER_GK,CLAIM,TOTAL_CLAIM,TOTAL_CLAIM_CNT,TRX_CNT,NET_SALES
24,7092247,80241,1200,UU,595,94056,4793.99,7397.84,3,6,14086.19
25,7109200,P501,0600,P,12,279488,1360.8,1053.93,14,62,145205.22
26,7132717,P81,0600,P,12,251961,27.36,5849.64,28,31,144571.12
27,7128731,P81,0600,P,12,251961,27.36,5849.64,28,31,144571.12
28,7110137,P81,0600,P,12,251961,273.6,5849.64,28,31,144571.12
29,7132729,P81,0600,P,12,251961,27.36,5849.64,28,31,144571.12
30,7105405,32491,0500,SW,22,296832,5225.76,7880.82,2,7,5298.34
31,7106293,83042,1200,A,979,232572,3519.09,424.83,2,6,3992.41
32,7134238,PSC1,0600,PB,SMART,380473,59.8,59.8,1,48,62790.0
33,7109663,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
34,7124125,64011,1200,V,875,269551,1018.0,19059.62,16,35,418225.07
35,7116306,64011,1200,V,875,269551,560.72,19059.62,16,35,418225.07
36,7117834,64011,1200,V,875,269551,560.72,19059.62,16,35,418225.07
37,7123551,64011,1200,V,875,269551,140.63,19059.62,16,35,418225.07
38,7117067,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
39,7124735,64011,1200,V,875,269551,4640.16,19059.62,16,35,418225.07
40,7121618,64011,1200,V,875,269551,4640.16,19059.62,16,35,418225.07
41,7125251,64011,1200,V,875,269551,140.63,19059.62,16,35,418225.07
42,7107755,64011,1200,V,875,269551,248.16,19059.62,16,35,418225.07
43,7115007,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
44,7125883,64011,1200,V,875,269551,1018.0,19059.62,16,35,418225.07
45,7119555,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
46,7110330,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
47,7122937,64011,1200,V,875,269551,1018.0,19059.62,16,35,418225.07
48,7122292,64011,1200,V,875,269551,1018.0,19059.62,16,35,418225.07
49,7115674,64011,1200,V,875,269551,4640.16,19059.62,16,35,418225.07
50,7125885,64011,1200,V,875,269551,140.63,19059.62,16,35,418225.07
51,7107753,64011,1200,V,875,269551,651.64,19059.62,16,35,418225.07
52,7124126,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
53,7122939,64011,1200,V,875,269551,140.63,19059.62,16,35,418225.07
54,7122294,64011,1200,V,875,269551,140.63,19059.62,16,35,418225.07
55,7125884,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
56,7125250,64011,1200,V,875,269551,208.36,19059.62,16,35,418225.07
57,7094910,27475,1200,A,959,241061,889.22,3710.17,1,351,373208.05
58,7096647,26912,1200,H4,879,180561,6258.26,5108.8,2,28,120753.83
59,7133159,27475,1200,A,989,295061,1701.0,4671.02,3,218,189777.18
60,7133129,28304,1200,A,965,380797,673.37,806.31,1,153,121503.22
61,7106738,32519,0500,EW,94,256343,181.81,3470.22,5,188,388134.66
62,7135779,32296,0500,EW,40,256343,2453.64,10548.84,17,34,8809.46
63,7135157,28056,1200,H4,735,180495,432.72,2112.16,2,14,60461.44
64,7091725,28304,1200,A,879,334483,2080.96,1493.72,2,61,61776.06
65,7128345,32509,0500,EW,98,279975,44.62,4805.87,4,43,59895.91
66,7124022,32286,0300,EW,30,256343,219.81,9308.74,35,46,90877.57
67,7081867,28304,1200,A,861,236671,1520.41,3388.95,2,13,21446.71
68,7126907,27861,1200,A,727,269118,719.55,3712.58,4,92,44624.36
69,6849040,32508,0500,EW,95,279975,49.45,607.54,4,17,22735.27
70,7034516,27962,1200,A,859,166424,4223.28,62814.0,3,9,60322.24
71,7128817,32222,03A00,SW,10,284155,4222.95,2160.58,3,33,146329.94
72,7124442,27000,1200,A,869,266938,661.5,289.33,6,47,74568.02
73,7134596,32509,0500,EW,97,256343,96.14,221.14,2,27,45666.5
74,7128618,27909,1200,H5,828,328291,3000.0,4730.46,2,7,5601.82
75,7068792,28234,1200,H5,947,231864,3357.58,284.97,1,5,6966.84
76,7133162,27569,1200,A,959,249910,738.01,58.07,1,5,3670.71
77,7125115,27569,1200,A,959,249910,584.11,58.07,1,5,3670.71
78,7095934,27909,1200,H5,742,249910,1408.3,2884.86,2,7,2252.79
79,7107616,11323,1200,W,55145,249910,4208.04,675.0,2,1,4182.21
80,7135349,28058,1200,H4,711,263586,188.41,283.8,3,6,4435.41
81,7129553,32004,0500D,EW,04,255872,359.34,513.37,2,5,856.5
82,7074213,27909,1200,H5,717,244443,4743.09,3964.7,1,10,13748.95
83,7101867,28072,1200,A,852,242038,274.78,416.66,1,21,15320.1
84,7125796,25542,1200,A,978,61554,2882.58,8535.57,2,47,72992.56
85,7087932,27896,1200,H5,948,257411,2343.92,4456.75,3,5,2121.37
86,7126944,28017,1200,H4,743,270298,1209.6,1295.95,1,2,280.87
87,7135122,28030,1200,H4,862,287835,1969.31,2723.08,1,4,1967.82
88,7106819,28215,1200,A,888,240559,227.92,658.71,1,38,29365.68
89,7119245,80440,1200,BF,579,89623,14146.45,288.5,1,2,14146.45
90,7088082,27930,1200,C1,733,284229,1067.97,1075.85,1,3,1935.25
91,7121843,28028,1200,H4,879,239605,6295.91,15423.72,3,11,21845.97
92,7043703,27660,1200,A,731,314799,1990.97,2286.16,2,20,23654.32
93,7125383,66344,0749,VT,20,320455,4997.45,6523.33,2,8,13423.43
94,7132224,66344,0749,VT,20,320455,3541.5,6523.33,2,8,13423.43
95,7104216,28028,1200,H4,849,242135,1316.7,2722.1,2,7,3015.94
96,7133962,25069,1200,A,979,334680,2031.21,2372.59,1,2,2213.95
97,7135768,28274,1200,H5,830,302154,2193.07,2226.42,1,4,3752.8
98,7123957,25444,1200,A,853,250405,550.0,1078.0,1,10,11588.06
99,7124875,28165,1200,H4,937,242511,1342.5,1239.58,1,11,39463.58
100,7059533,28312,1200,A,723,298094,1453.81,1600.21,4,24,20661.56
101,7089230,83044,2424P,T3,131,272364,1395.0,1838.88,1,5,5801.54
102,7103146,28100,1200,H4,959,283798,766.05,719.31,3,32,37884.08
103,7092649,27692,1200,H4,711,266938,142.02,598.61,1,4,1962.92
104,7129489,28343,1200,A,723,239301,1067.04,869.13,3,82,63061.95
105,7132034,28343,1200,A,723,239301,1041.6,869.13,3,82,63061.95
106,7129508,28343,1200,A,723,239301,1108.08,869.13,3,82,63061.95
107,7130058,28343,1200,A,723,239301,734.4,869.13,3,82,63061.95
108,7129498,28343,1200,A,723,239301,1326.08,869.13,3,82,63061.95
109,7129492,28343,1200,A,723,239301,157.9,869.13,3,82,63061.95
110,7129484,28343,1200,A,723,239301,1087.56,869.13,3,82,63061.95
111,7129474,28343,1200,A,723,239301,1471.12,869.13,3,82,63061.95
112,7130069,28343,1200,A,723,239301,930.24,869.13,3,82,63061.95
113,7126190,28343,1200,A,723,239301,1941.06,869.13,3,82,63061.95
114,7129505,28343,1200,A,723,239301,987.34,869.13,3,82,63061.95
115,7130050,28343,1200,A,723,239301,342.72,869.13,3,82,63061.95
116,7129500,28343,1200,A,723,239301,758.88,869.13,3,82,63061.95
117,7129478,28312,1200,A,723,239301,489.6,4215.84,3,33,24616.97
118,7130052,28172,1200,A,717,239301,692.02,1314.0,1,6,3827.6
119,7132018,28172,1200,A,717,239301,1314.0,1314.0,1,6,3827.6
120,7120418,28145,1200,H5,753,232504,2913.84,3970.42,1,4,3144.45
121,7131986,27584,1200,C1,717,249220,2071.72,2822.49,1,4,2213.27
122,7099936,28074,1200,A,959,324750,999.54,1817.21,2,10,2086.62
123,7122623,27512,1200,A,869,251309,1902.69,2709.63,2,24,39343.23
124,7103576,27896,1200,H5,948,249560,1557.47,1201.5,1,6,3097.43
125,7127228,28343,1200,A,723,274732,347.06,4035.47,5,54,22492.5
126,7127196,28343,1200,A,723,274732,633.67,4035.47,5,54,22492.5
127,7127215,28343,1200,A,723,274732,647.5,4035.47,5,54,22492.5
128,7127221,28343,1200,A,723,274732,773.53,4035.47,5,54,22492.5
129,7125755,28343,1200,A,723,274732,564.62,4035.47,5,54,22492.5
130,7127240,28343,1200,A,723,274732,627.55,4035.47,5,54,22492.5
131,7121019,28343,1200,A,723,274732,577.5,4035.47,5,54,22492.5
132,7131555,28343,1200,A,723,274732,657.86,4035.47,5,54,22492.5
133,7127226,28343,1200,A,723,274732,347.06,4035.47,5,54,22492.5
134,7125751,28343,1200,A,723,274732,657.86,4035.47,5,54,22492.5
135,7127212,28343,1200,A,723,274732,362.6,4035.47,5,54,22492.5
136,7127245,28343,1200,A,723,274732,714.84,4035.47,5,54,22492.5
137,7131559,28343,1200,A,723,274732,457.55,4035.47,5,54,22492.5
138,7020929,27810,1200,H4,739,269515,233.37,3094.96,1,2,4131.75
139,7118825,80526,1200,A,879,386731,5358.64,13014.15,1,4,2994.73
140,7126153,28033,1200,H5,721,242100,4346.96,2701.09,2,5,8006.35
141,7107805,80281,1200,A,729,267365,159.04,528.11,2,5,49.78
142,7129360,25444,1200,A,857,233899,936.99,79.86,1,10,12615.02
143,7105853,26594,1200,A,712,233071,2732.66,42.18,1,27,74172.66
144,7124967,28015,1200,H4,949,269986,1200.72,1330.32,2,5,722.28
145,7090346,27930,1200,C1,852,235177,1408.91,2167.5,2,5,1075.08
146,7124018,27892,1200,A,979,312722,675.54,1218.59,3,11,6773.44
147,7133580,27979,1200,A,878,315822,125.99,108.67,1,15,23764.54
148,7104761,C8001,0636,VT,EK11,270693,975.24,441.8,1,6,4677.48
149,7098109,27482,1200,H5,700,250115,378.0,1262.32,1,4,1675.76
150,7134939,27604,1200,A,751,262510,405.61,874.16,1,5,20929.03
151,7124641,27973,1200,A,858,262510,4737.6,5167.67,1,13,60759.39
152,7134938,27973,1200,A,858,262510,315.86,5167.67,1,13,60759.39
153,7090976,28071,1200,A,749,262510,838.8,240.26,1,17,96394.75
154,7133106,28072,1200,A,758,325878,1647.77,135.85,1,16,17133.84
155,7133120,28133,1200,H4,721,312237,1512.93,1513.1,1,3,1186.51
156,7066965,80294,1200,A,978,61629,257.27,23288.86,1,80,179828.34
157,7131654,27000,1200,A,741,295464,588.0,535.94,1,5,1195.55
158,7066965,25542,1200,A,978,61629,856.55,6406.94,1,16,22160.4
159,7118152,28145,1200,H5,755,301443,2814.91,7063.63,2,7,5162.16
160,7108855,27651,1200,H5,711,228638,2094.32,2121.12,1,4,1842.92
161,7119439,27884,1200,H4,945,289703,82.32,2410.86,1,3,2169.78
162,7100324,27048,1200,A,858,249983,4104.0,7803.34,1,3,4.11
163,7132115,28227,1500,A,778,243071,2620.91,2533.29,1,3,2524.47
164,7092880,27583,1200,H4,959,256302,2914.03,5412.55,1,3,2760.66
165,7126342,85135,1200,UU,719,76967,2010.45,3057.61,1,3,1659.41
166,7087812,27047,1200,A,959,289715,2196.0,702.5,2,12,6797.02
167,7104691,27001,1200,A,832,264357,89.1,106.2,1,6,1093.06
168,7126400,27486,1200,A,755,251293,2899.73,142.83,1,5,8374.32
169,7088559,28064,1200,H4,989,322064,439.2,893.85,1,3,409.34
170,7133459,28292,1200,A,750,385594,617.0,1727.8,2,8,7056.26
171,7123266,28292,1200,A,750,385594,695.0,1727.8,2,8,7056.26
172,7132101,27741,1200,H4,721,239625,3607.15,1130.95,1,6,9620.99
173,7125505,59163,1200,A,128,235656,381.6,921.3,1,16,10098.14
174,7115915,27583,1200,H5,832,336407,75.0,740.97,1,3,700.47
175,7132107,27930,1200,C1,928,244413,1374.41,2300.8,1,3,1140.71
176,7126831,63067,0648,VT,446,280317,155.9,155.9,1,2,1195.98
177,7124834,28312,1200,A,723,289625,150.0,3926.7,3,18,9627.14
178,7126692,28312,1200,A,723,289625,1422.45,3926.7,3,18,9627.14
179,7126101,27729,1200,A,849,296417,113.46,100.0,1,5,2739.56
180,7122209,28074,1200,A,859,313349,1428.35,215.01,1,6,17456.52
181,7007913,27716,1200,A,842,320616,569.09,1138.18,1,1,432.71
182,7081465,88761,1236,EP,949,77015,1834.63,132.92,1,2,1508.76
183,7000266,80281,1200,A,657,401613,15644.0,300.86,1,3,15532.09
184,7115742,27899,1200,A,728,331430,1500.0,558.14,1,2,1462.23
185,7122382,27894,1200,H5,739,293666,32.63,348.31,1,4,2640.89
186,7048077,27689,1200,H5,727,293391,878.4,829.01,1,2,1645.25
187,7037390,64011,1200,V,876,227353,348.26,448.4,1,17,33087.27
188,7066626,27651,1200,H4,586,260511,1373.64,105.0,1,1,1373.64
189,7103443,28041,1200,H4,828,234466,1445.9,1542.38,1,3,1192.25
190,7126639,27645,1200,A,878,239161,868.96,914.7,1,3,1564.97
191,7124850,80287,2424P,T3,728,294593,18798.6,7170.6,1,1,204.0
192,7066250,28051,1200,H4,717,243040,3766.3,150.0,1,3,6227.35
193,7123066,28227,1500,A,347,242509,2374.34,3329.16,1,3,2156.23
194,7131229,27000,1200,A,968,301348,61.62,303.34,1,2,61.58
195,7106586,25270,1500,A,721,262686,605.85,422.41,1,7,1519.86
196,7104449,80492,2424P,T3,689,67737,7925.06,2000.0,1,1,7925.06
197,7090797,38940,1200,W,K9146,109655,60000.0,120892.41,1,2,281607.21
198,7120527,28197,1200,A,713,388554,296.36,1103.99,2,5,1359.78
199,7123906,28197,1200,A,713,388554,1123.81,1103.99,2,5,1359.78
200,7127973,27952,1200,A,716,312722,255.21,226.75,1,5,4107.32
201,7098400,28152,1200,H4,781,300997,71.59,481.14,1,3,2224.94
202,7134711,28011,1200,H4,919,301882,2684.27,4461.61,1,3,2550.01
203,7116620,80491,1200,L4,689,69763,4000.53,5862.66,1,2,8262.98
204,7129364,27651,1200,C1,711,236455,349.76,1496.38,2,3,275.02
205,7135625,28185,1200,H4,839,401547,254.34,553.21,1,7,3014.22
206,7099868,27660,1200,A,739,339754,929.14,927.79,1,5,1426.16
207,7123326,83042,1200,A,858,377530,5300.53,861.02,3,4,5157.45
208,7132139,27896,1200,H5,859,241557,605.94,661.38,1,3,545.94
209,7122847,27872,1200,H4,685,399315,968.76,1295.76,1,3,98.44
210,7095579,59164,1200,A,569,407922,1350.8,1350.8,1,1,1300.8
211,7118150,25220,1200,A,999,276662,236.8,236.8,1,2,947.56
212,7125043,27864,1200,H4,856,407069,2914.55,8681.97,4,11,2721.67
213,7109080,80547,2424P,T3,859,78827,118.4,1252.24,1,1,1324.63
214,7078154,77030,1 QT,SS,0,168763,14.95,14.95,1,79,7112.73
215,7067880,77030,1 QT,SS,0,168763,14.95,14.95,1,79,7112.73
216,7088105,28074,1200,A,872,320800,1481.29,2966.98,1,2,1687.19
217,7128158,27529,1200,A,736,397486,2094.91,2199.85,1,3,5884.76
218,7125536,27529,1200,A,736,397486,2022.43,2199.85,1,3,5884.76
219,7129282,27048,1200,A,969,250360,1047.36,934.36,1,5,1782.49
220,7022290,80304,1200,A,978,93864,8560.07,3878.26,1,1,16696.13
221,7133533,26403,1200,A,831,315910,3381.3,7115.25,1,4,3127.6
222,7122095,93872,1200,UB,K3177,110575,4490.85,2245.42,1,3,112506.01
223,7008421,74367,1200,A,I3125,174826,22375.0,18729.62,1,2,0.14
224,7082392,12480,1200,W,00253,410791,21983.5,3964.18,1,4,34061.96
225,7097081,63067,0648,VT,392,268957,100.0,1804.82,1,2,3711.63
226,7132896,P67,0600,P,716,228317,99.0,10479.23,25,61,273462.04
227,7122500,P67,0600,P,716,228317,34.8,10479.23,25,61,273462.04
228,7130106,P503,0600,P,38,228317,179.31,10099.2,30,71,365613.93
229,7132875,P503,0600,P,38,228317,29.1,10099.2,30,71,365613.93
230,7124209,63067,0648,VT,392,236744,1999.88,1999.89,1,3,1999.87
231,7095852,32457,0500,EW,24,314799,3581.48,3025.58,1,10,19565.43
232,7119195,63067,0648,VT,396,266611,187.89,1108.92,2,4,187.87
233,7004822,32499,03A00,SW,55,322857,5875.0,7421.57,1,1,7421.57
234,7109561,63059,1836,VT,S959,89855,16410.24,17742.24,1,5,39724.92
235,7067880,XL05,4GAL,GL,1,168763,378.72,100.47,1,84,260980.55
236,7078154,XL05,4GAL,GL,1,168763,1612.65,100.47,1,84,260980.55
237,7126627,HFSTE,215,WM,05414,239733,313.92,247.2,1,4,66.72
238,7127166,27949,1200,A,936,297654,888.03,1938.58,2,30,18275.83
239,7109247,PM82,0600,P,1532,279488,342.4,259.7,2,54,162813.38
240,7125449,27962,1200,A,979,280350,784.02,689.57,1,6,4024.97
241,7132815,27779,1200,H5,741,301985,5427.29,4956.68,1,2,507.5
242,7126452,28063,1200,H5,919,294361,1288.72,1693.41,2,6,30821.19
243,7121602,28063,1200,H5,919,294361,2389.14,1693.41,2,6,30821.19
244,7130512,27909,1200,H5,834,240683,2335.34,6932.22,3,14,8808.42
245,7084404,28159,1200,H4,819,337722,687.6,2658.2,3,8,8843.94
246,7133746,27953,1200,A,929,276236,647.0,677.35,1,6,1653.18
247,7096288,28063,1200,H5,818,276862,975.74,5101.15,2,6,4895.67
248,7103010,28046,1200,H4,948,297834,278.8,344.37,1,2,1.16
249,7134017,28136,1200,H5,702,301082,886.08,1409.17,1,3,841.38
250,7102272,26325,1200,A,821,276154,402.19,2055.27,1,13,18801.27
251,7088497,85208,2424K,EP,968,111104,5028.16,27553.01,1,3,4775.17
252,6980613,88780,2424,EP,954,78695,51600.0,88285.68,1,3,45166.51
253,7075003,89064,1200,T,I4263,85494,1607.04,952.71,1,5,14259.33
254,7057318,63061,0436,VT,NO100,101777,58309.0,58653.63,1,10,24786.83
255,7126398,P81,0600,PB,12,385822,226.8,749.2,1,10,3218.4
256,7126395,P81,0600,PB,12,385822,178.8,749.2,1,10,3218.4
257,7127790,P81,0600,PB,12,385822,113.4,749.2,1,10,3218.4
258,7125045,32374,0500,EW,11,244199,886.27,3091.68,2,16,33668.35
259,7124711,80287,2424P,T3,948,89682,48495.1,47196.61,2,1,1147.24
260,7128992,59164,1200,A,929,90288,1237.69,181.31,1,2,1237.69
261,7110203,32583,0700,EW,28,244199,5394.6,2497.5,1,4,8191.8
262,7021303,H3840,1200,A,22F55,171495,7500.0,13976.79,1,1,13976.79
263,7064483,27732,1200,A,862,335344,689.38,3268.34,1,17,62280.28
264,7123109,27611,1200,A,884,269252,363.36,861.84,1,11,32459.61
265,7128700,27611,1200,A,867,269252,795.16,1918.11,3,14,68941.93
266,7132715,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
267,7103238,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
268,7132711,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
269,7132713,P501,0600,P,12,251961,121.98,23726.71,155,149,415808.17
270,7132727,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
271,7128719,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
272,7132712,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
273,7132722,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
274,7132723,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
275,7128738,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
276,7132725,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
277,7132721,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
278,7132714,P501,0600,P,12,251961,60.99,23726.71,155,149,415808.17
279,7132724,P501,0600,P,12,251961,30.49,23726.71,155,149,415808.17
280,7133573,P501,0600,P,12,279975,30.49,17257.42,86,46,195203.63
281,7098284,80518,1200,A,948,76598,436.81,3609.77,1,7,88727.0
282,7114942,27921,1200,A,899,240715,1636.51,2035.39,2,8,5874.4
283,7106671,28218,1200,H4,949,266938,160.02,209.84,1,5,2207.16
284,7123109,27612,1200,A,826,269252,977.46,145.18,1,4,5093.82
285,7104121,27475,1500,A,862,266611,125.67,125.67,1,4,486.02
286,7121568,27583,1200,H4,925,242069,787.63,58.64,1,5,13437.94
287,7129524,28053,1200,H5,819,290691,1179.47,1179.47,1,1,821.65
288,7125805,27930,1200,H5,859,339724,3459.06,2000.0,1,2,1286.11
289,7131568,28097,1200,H4,717,284623,564.57,536.34,1,1,536.34
290,7134210,28028,1200,H4,899,239645,733.9,1338.66,1,3,666.97
291,7132720,PSC1,0600,P,SMART,251961,56.81,1381.92,11,16,192440.35
292,7128729,PSC1,0600,P,SMART,251961,56.81,1381.92,11,16,192440.35
293,7132708,PSC1,0600,P,SMART,251961,56.81,1381.92,11,16,192440.35
294,7098918,PSC1,0600,P,SMART,251961,56.81,1381.92,11,16,192440.35
295,7095842,88740,1236,EP,851,75865,12045.44,5918.88,1,2,23865.88
296,7127934,27792,1200,H4,948,307590,3764.92,3963.07,1,3,3566.77
297,7043160,83041,1200,A,858,249783,3849.55,1978.13,1,2,5827.68
298,7090509,80309,1200,A,842,61648,6012.36,1700.8,1,1,5831.99
299,7132716,27584,1200,C1,636,240683,1264.52,1264.52,1,5,980.06
300,7132895,27940,1200,C1,717,284229,770.89,3979.84,3,29,69824.16
301,7132892,27940,1200,C1,717,284229,2472.33,3979.84,3,29,69824.16
302,7116221,27791,1200,H4,868,284229,2023.56,212.33,6,13,16422.15
303,7120800,66340,07B51C,VT,49003,241579,1260.36,8767.54,4,4,3489.34
304,7027617,66340,07B51C,VT,49003,243082,1272.72,1261.31,1,8,3324.93
305,7076260,28203,1200,A,937,253016,1378.68,1866.45,1,17,15659.9
306,7132707,28203,1200,A,937,253016,2072.85,1866.45,1,17,15659.9
307,7076444,28203,1200,A,937,253016,572.67,1866.45,1,17,15659.9
308,7006756,27475,1200,A,864,253015,394.02,732.0,2,2,526.58
309,7104462,27735,1200,H4,720,240683,67.23,3405.23,2,5,1187.45
310,7093529,26370,1200,A,874,249460,237.26,25.5,1,2,1957.51
311,7038057,28206,1200,H5,978,232365,3190.39,174.1,2,4,4986.4
312,7134189,27784,1200,H4,748,232365,564.78,3536.09,1,6,5748.4
313,7096854,27810,1200,H4,739,254006,916.3,916.3,1,2,1675.44
314,7131341,28051,1200,H4,729,253373,547.57,992.11,1,3,1568.54
315,7133401,27565,1200,C1,841,283850,3399.98,4638.08,1,3,3079.02
316,7134641,28182,1200,H4,776,241579,898.22,820.61,1,3,7560.21
317,7122096,26402,1200,A,352,253460,1500.0,1360.55,1,1,1834.94
318,7117795,64010,1200,V,566,325824,873.75,1419.74,1,4,1607.12
319,7110107,27659,1200,A,728,249266,700.12,835.51,1,3,532.18
320,7104565,28070,1200,H5,735,301020,3932.91,3836.32,1,3,3438.04
321,7105425,27750,1200,H4,743,253948,1264.9,1278.9,2,2,2313.24
322,6979031,27741,1200,H4,721,290574,5685.0,5666.95,2,33,117295.47
323,7134411,27741,1200,H4,937,290574,2736.91,2058.7,1,17,47822.79
324,7127466,28023,1200,A,877,231381,967.64,967.64,1,4,3235.52
325,7110204,28160,1200,H4,786,229906,878.4,878.4,1,3,2635.2
