,CLAIM_NUM,INVENTORY_STYLE_CD,INVENTORY_SIZE_CD,INVENTORY_BACKING_CD,INVENTORY_COLOR_CD,DIM_DIVISION_CUSTOMER_GK,F1ROLL,F1PROL,F1GROL,F1DLOT,CLAIM_STATUS_TYPE_CD,CLAIM,TOTAL_CLAIM,TOTAL_CLAIM_CNT,TRX_CNT,NET_SALES
29,7035407,PSC1,0600,PB,SMART,290574,07389434,,,PAD,50,55.6,1112.0,2,389,799728.4
30,7035407,PSC1,0600,PB,SMART,290574,07389436,,,PAD,50,55.6,1112.0,2,389,799728.4
31,7035341,PSC1,0600,PB,SMART,290574,07436326,,,PAD,50,55.6,1112.0,2,389,799728.4
32,7035407,PSC1,0600,PB,SMART,290574,07389433,,,PAD,50,55.6,1112.0,2,389,799728.4
33,7035341,PSC1,0600,PB,SMART,290574,07436319,,,PAD,50,55.6,1112.0,2,389,799728.4
34,7035407,PSC1,0600,PB,SMART,290574,07389428,,,PAD,50,55.6,1112.0,2,389,799728.4
35,7035341,PSC1,0600,PB,SMART,290574,07436318,,,PAD,50,55.6,1112.0,2,389,799728.4
36,7025569,P67,0600,PB,716,328710,07447529,,,PAD,51,34.5,862.5,1,15,6862.5
37,7025569,P67,0600,PB,716,328710,07447520,,,PAD,51,34.5,862.5,1,15,6862.5
38,7025569,P67,0600,PB,716,328710,07447511,,,PAD,51,34.5,862.5,1,15,6862.5
39,7025569,P67,0600,PB,716,328710,07447519,,,PAD,51,34.5,862.5,1,15,6862.5
40,7025569,P67,0600,PB,716,328710,07447530,,,PAD,51,34.5,862.5,1,15,6862.5
41,7025569,P67,0600,PB,716,328710,07447514,,,PAD,51,34.5,862.5,1,15,6862.5
42,7025569,P67,0600,PB,716,328710,07447527,,,PAD,51,34.5,862.5,1,15,6862.5
43,7025569,P67,0600,PB,716,328710,07447525,,,PAD,51,34.5,862.5,1,15,6862.5
44,7025569,P67,0600,PB,716,328710,07447515,,,PAD,51,34.5,862.5,1,15,6862.5
45,7025569,P67,0600,PB,716,328710,07447526,,,PAD,51,34.5,862.5,1,15,6862.5
46,7025569,P67,0600,PB,716,328710,07447513,,,PAD,51,34.5,862.5,1,15,6862.5
47,7025569,P67,0600,PB,716,328710,07447535,,,PAD,51,34.5,862.5,1,15,6862.5
48,7025569,P67,0600,PB,716,328710,07447522,,,PAD,51,34.5,862.5,1,15,6862.5
49,7025569,P67,0600,PB,716,328710,07447521,,,PAD,51,34.5,862.5,1,15,6862.5
50,7025569,P67,0600,PB,716,328710,07447518,,,PAD,51,34.5,862.5,1,15,6862.5
51,7025569,P67,0600,PB,716,328710,07447533,,,PAD,51,34.5,862.5,1,15,6862.5
52,7025569,P67,0600,PB,716,328710,07447523,,,PAD,51,34.5,862.5,1,15,6862.5
53,7025569,P67,0600,PB,716,328710,07447532,,,PAD,51,34.5,862.5,1,15,6862.5
54,7025569,P67,0600,PB,716,328710,07447517,,,PAD,51,34.5,862.5,1,15,6862.5
55,7025569,P67,0600,PB,716,328710,07447516,,,PAD,51,34.5,862.5,1,15,6862.5
56,7025569,P67,0600,PB,716,328710,07447524,,,PAD,51,34.5,862.5,1,15,6862.5
57,7025569,P67,0600,PB,716,328710,07447531,,,PAD,51,34.5,862.5,1,15,6862.5
58,7025569,P67,0600,PB,716,328710,07447534,,,PAD,51,34.5,862.5,1,15,6862.5
59,7025569,P67,0600,PB,716,328710,07447528,,,PAD,51,34.5,862.5,1,15,6862.5
60,7025569,P67,0600,PB,716,328710,07447512,,,PAD,51,34.5,862.5,1,15,6862.5
61,7145860,28308,1200,A,976,307016,11904079,,5420451,A57266,50,21.99,21.99,1,5,4241.38
62,7023282,83060,1200,A,748,266611,07365117,07314558,4907124,727278$,30,252.39,252.39,1,12,3340.08
63,7003908,27475,1200,A,749,251309,03334223,02989731,4570746,K43819$,50,239.42,11747.16,13,200,319746.02
64,6983957,27475,1200,A,749,251309,97992862,97904584,4077805,K27432$,30,893.83,11747.16,13,200,319746.02
65,7068143,27475,1200,A,749,251309,00980797,00941728,4389349,K37597$,30,755.8,11747.16,13,200,319746.02
66,6974449,27475,1200,A,749,251309,05138240,04885142,4766363,K51216,51,1031.13,11747.16,13,200,319746.02
67,7118346,27475,1200,A,749,251309,03709843,03670886,4640446,K46421$,50,1184.26,11747.16,13,200,319746.02
68,6980201,27475,1200,A,749,251309,01098033,00694107,4356061,\36878$,50,1246.59,11747.16,13,200,319746.02
69,6975070,27475,1200,A,749,251309,05039303,04950604,4772600,K51312$,30,884.05,11747.16,13,200,319746.02
70,7075206,27475,1200,A,749,251309,98713181,98600894,4159058,K30265$,30,1048.21,11747.16,13,200,319746.02
71,7014871,27475,1200,A,749,251309,04853837,04689213,4733192,K50347$,30,884.05,11747.16,13,200,319746.02
72,7127980,28223,1200,A,937,299832,10944659,10602381,5211945,K74613,30,337.0,337.0,1,98,50213.91
73,7021502,29701,1200,H4,939,180495,06319484,,4911192,P44132,50,625.49,625.49,1,24,149037.38
74,7121349,30792,1200,W,989,163438,11526045,09858394,K370291,C9210,51,2919.14,5838.28,2,5,1385.16
75,7069279,30792,1200,W,989,163438,96017789,,3806775,11N20,50,2919.14,5838.28,2,5,1385.16
76,7104827,28088,1200,A,737,319858,06807428,,4885160,A40141,30,7.06,7.06,1,24,182739.76
77,7017777,27899,1200,A,728,254909,07039742,,4965186,K58264,51,744.81,744.81,1,50,96213.7
78,6996143,27612,1200,A,853,260093,05519409,,4819644,L135434,51,506.18,2380.94,2,26,171927.37
79,6996143,27612,1200,A,853,260093,05573406,05519591,4823728,L135434,51,855.02,2380.94,2,26,171927.37
80,6987526,27861,1200,A,727,251309,97834247,97780254,4048235,439299,30,982.35,10368.83,13,216,352621.72
81,7090596,27861,1200,A,727,251309,03234622,02406306,4497828,575317$,30,747.29,10368.83,13,216,352621.72
82,6982603,27861,1200,A,727,251309,02750407,02644914,4541463,599153,30,365.18,10368.83,13,216,352621.72
83,6975065,27861,1200,A,727,251309,05002096,04639260,4740315,061771$,51,1060.22,10368.83,13,216,352621.72
84,7101206,27861,1200,A,727,251309,03638496,03152193,4584858,607511,50,914.61,10368.83,13,216,352621.72
85,6980450,27861,1200,A,727,251309,05138959,05126624,4798911,073623,51,1055.09,10368.83,13,216,352621.72
86,6974449,27861,1200,A,727,251309,05157163,04990813,4784639,684071$,51,1055.09,10368.83,13,216,352621.72
87,7088080,27861,1200,A,727,251309,03234622,02406306,4497828,575317$,50,747.29,10368.83,13,216,352621.72
88,6962796,27861,1200,A,727,251309,04446579,,4720716,058829$,30,1046.52,10368.83,13,216,352621.72
89,7009121,27861,1200,A,727,251309,06348336,05518016,4806205,073623$,50,918.63,10368.83,13,216,352621.72
90,7136210,27475,1200,A,758,234852,02727147,,4542819,K43181$,50,155.52,6057.59,3,74,67927.99
91,7136210,27475,1200,A,758,234852,02728554,,4544930,K43181$,50,683.12,6057.59,3,74,67927.99
92,7136210,27475,1200,A,758,234852,02776540,02728159,4542828,K43181$,50,1254.95,6057.59,3,74,67927.99
93,6977135,27861,1200,A,727,231970,99839063,99391987,4213267,CR$00024,50,307.03,1371.91,1,41,40572.39
94,6977135,27861,1200,A,727,231970,99394162,,4223177,CR$00024,50,1064.88,1371.91,1,41,40572.39
95,6995124,28112,1200,A,729,232904,04347732,,4720211,A34153,50,60.4,1454.25,3,432,820468.41
96,6976022,28112,1200,A,729,232904,04347732,,4720211,A34153,30,988.12,1454.25,3,432,820468.41
97,7018695,28112,1200,A,729,232904,05037598,,4774003,A36058,50,405.73,1454.25,3,432,820468.41
98,7116648,27952,1200,A,929,260519,08584781,,5097695,A45798,50,1101.6,4758.4,7,453,669783.97
99,7147471,27952,1200,A,929,260519,11858831,,5406925,A57221,50,255.58,4758.4,7,453,669783.97
100,7007110,27952,1200,A,929,260519,03500631,,4626464,A31847,50,763.84,4758.4,7,453,669783.97
101,7123639,27952,1200,A,929,260519,10784532,10698492,5268250,A52737,50,619.22,4758.4,7,453,669783.97
102,7027155,27952,1200,A,929,260519,07312087,07236455,4968275,A41291,50,1386.02,4758.4,7,453,669783.97
103,7117121,27952,1200,A,929,260519,11114935,10968537,5309994,A53974,51,590.38,4758.4,7,453,669783.97
104,7092351,28316,1200,A,862,232904,09446221,09289196,5168117,K68189$,30,164.83,164.83,1,570,750131.05
105,7005481,P81,0600,PB,12,325919,06128462,,,PAD,50,29.8,894.0,1,202,148308.08
106,7005481,P81,0600,PB,12,325919,06128455,,,PAD,50,29.8,894.0,1,202,148308.08
107,7005481,P81,0600,PB,12,325919,06128794,,,PAD,50,29.8,894.0,1,202,148308.08
108,7005481,P81,0600,PB,12,325919,06128466,,,PAD,50,29.8,894.0,1,202,148308.08
109,7005481,P81,0600,PB,12,325919,06128458,,,PAD,50,29.8,894.0,1,202,148308.08
110,7005481,P81,0600,PB,12,325919,06128476,,,PAD,50,29.8,894.0,1,202,148308.08
111,7005481,P81,0600,PB,12,325919,06128461,,,PAD,50,29.8,894.0,1,202,148308.08
112,7005481,P81,0600,PB,12,325919,06128457,,,PAD,50,29.8,894.0,1,202,148308.08
113,7005481,P81,0600,PB,12,325919,06128474,,,PAD,50,29.8,894.0,1,202,148308.08
114,7005481,P81,0600,PB,12,325919,06128459,,,PAD,50,29.8,894.0,1,202,148308.08
115,7005481,P81,0600,PB,12,325919,06128465,,,PAD,50,29.8,894.0,1,202,148308.08
116,7005481,P81,0600,PB,12,325919,06128470,,,PAD,50,29.8,894.0,1,202,148308.08
117,7005481,P81,0600,PB,12,325919,06129135,,,PAD,50,29.8,894.0,1,202,148308.08
118,7005481,P81,0600,PB,12,325919,06128472,,,PAD,50,29.8,894.0,1,202,148308.08
119,7005481,P81,0600,PB,12,325919,06128460,,,PAD,50,29.8,894.0,1,202,148308.08
120,7005481,P81,0600,PB,12,325919,06129139,,,PAD,50,29.8,894.0,1,202,148308.08
121,7005481,P81,0600,PB,12,325919,06128475,,,PAD,50,29.8,894.0,1,202,148308.08
122,7005481,P81,0600,PB,12,325919,06128463,,,PAD,50,29.8,894.0,1,202,148308.08
123,7005481,P81,0600,PB,12,325919,06128467,,,PAD,50,29.8,894.0,1,202,148308.08
124,7005481,P81,0600,PB,12,325919,06128473,,,PAD,50,29.8,894.0,1,202,148308.08
125,7005481,P81,0600,PB,12,325919,06128477,,,PAD,50,29.8,894.0,1,202,148308.08
126,7005481,P81,0600,PB,12,325919,06128454,,,PAD,50,29.8,894.0,1,202,148308.08
127,7005481,P81,0600,PB,12,325919,06128468,,,PAD,50,29.8,894.0,1,202,148308.08
128,7005481,P81,0600,PB,12,325919,06128471,,,PAD,50,29.8,894.0,1,202,148308.08
129,7005481,P81,0600,PB,12,325919,06128464,,,PAD,50,29.8,894.0,1,202,148308.08
130,7005481,P81,0600,PB,12,325919,06129137,,,PAD,50,29.8,894.0,1,202,148308.08
131,7005481,P81,0600,PB,12,325919,06128796,,,PAD,50,29.8,894.0,1,202,148308.08
132,7005481,P81,0600,PB,12,325919,06128456,,,PAD,50,29.8,894.0,1,202,148308.08
133,7005481,P81,0600,PB,12,325919,06128469,,,PAD,50,29.8,894.0,1,202,148308.08
134,7005481,P81,0600,PB,12,325919,06128453,,,PAD,50,29.8,894.0,1,202,148308.08
135,6995498,27951,1200,A,751,256343,01163856,,4408314,K38258$,50,422.28,6932.35,13,129,453144.66
136,7137594,27951,1200,A,751,256343,06372655,,4907516B,K56600,50,953.03,6932.35,13,129,453144.66
137,7004264,27951,1200,A,751,256343,05543003,,4831155B,K53388,51,756.0,6932.35,13,129,453144.66
138,7134731,27229,1200,A,752,309402,11780956,,,A55919,50,196.82,1866.65,8,95,313153.51
139,6986430,27229,1200,A,752,309402,98859564,,4133682,A19905,50,430.17,1866.65,8,95,313153.51
140,7053433,27229,1200,A,752,309402,07765791,,5028681,A43323,50,49.14,1866.65,8,95,313153.51
141,7131211,27229,1200,A,752,309402,10997246,,5247099,A53986,50,68.86,1866.65,8,95,313153.51
142,7067760,27475,1200,A,862,250754,08850208,08842538,5125112,K66148$,50,198.24,1918.68,5,244,177697.55
143,7006606,27475,1200,A,862,250754,05915983,,4867989,K54833$,50,580.54,1918.68,5,244,177697.55
144,7147366,P67,0600,PB,716,295061,12224643,,,PAD,50,37.2,111.6,1,87,170995.2
145,7147366,P67,0600,PB,716,295061,12224644,,,PAD,50,37.2,111.6,1,87,170995.2
146,7147366,P67,0600,PB,716,295061,12224642,,,PAD,50,37.2,111.6,1,87,170995.2
147,7099897,28215,1200,A,728,270337,08229979,,5069758,K63501$,51,555.59,822.54,2,114,208324.98
148,7041708,28215,1200,A,728,270337,08238528,08060206,5057058,K62329$,51,266.95,822.54,2,114,208324.98
149,7100391,27475,1200,A,758,269282,05689344,05489235,4825227,K53401$,30,440.95,2456.13,4,446,258413.42
150,7017459,27475,1200,A,758,269282,05954527,05487905,4822262,K53401$,50,516.03,2456.13,4,446,258413.42
151,7035218,27475,1200,A,758,269282,07917806,07684604,5033693,K60986$,51,731.13,2456.13,4,446,258413.42
152,6996736,C87,0600,PB,716,286389,05324370,,,PAD,30,33.75,337.5,1,37,23684.25
153,6996736,C87,0600,PB,716,286389,05324370,,,PAD,50,33.75,337.5,1,37,23684.25
154,6996736,C87,0600,PB,716,286389,05324190,,,PAD,30,33.75,337.5,1,37,23684.25
155,6996736,C87,0600,PB,716,286389,05324372,,,PAD,30,33.75,337.5,1,37,23684.25
156,6996736,C87,0600,PB,716,286389,05324371,,,PAD,30,33.75,337.5,1,37,23684.25
157,6996736,C87,0600,PB,716,286389,05324372,,,PAD,50,33.75,337.5,1,37,23684.25
158,6996736,C87,0600,PB,716,286389,05324190,,,PAD,50,33.75,337.5,1,37,23684.25
159,6996736,C87,0600,PB,716,286389,05324371,,,PAD,50,33.75,337.5,1,37,23684.25
160,6996736,C87,0600,PB,716,286389,05324369,,,PAD,50,33.75,337.5,1,37,23684.25
161,6996736,C87,0600,PB,716,286389,05324369,,,PAD,30,33.75,337.5,1,37,23684.25
162,7138395,28144,1200,H5,938,301082,10814216,,5232851,P75184,48,1394.12,1394.12,1,3,1611.12
163,7042628,28072,1200,A,877,276962,06812865,,4900695A,CA38306$,50,16.07,29.4,2,10,13317.38
164,7078106,28072,1200,A,877,276962,08396959,,5091461,A45309$,50,13.33,29.4,2,10,13317.38
165,7043980,28072,1200,A,717,238677,05574644,05420097,4822608,P37974,50,158.98,158.98,1,218,867951.71
166,7058988,27951,1200,A,727,231970,08138549,,,K60980,50,784.95,4138.72,6,213,259634.57
167,7138890,27951,1200,A,727,231970,09435366,,5175007D,KK68612,48,744.64,4138.72,6,213,259634.57
168,7096051,27951,1200,A,727,231970,02412271,,4500567E,K41808,50,821.61,4138.72,6,213,259634.57
169,7062834,27951,1200,A,727,231970,06286283,05765721,4847916C,K54465,50,148.39,4138.72,6,213,259634.57
170,7067629,28215,1200,A,728,240559,07186459,,4984279,K58711$,30,1166.65,1166.65,1,338,290148.76
171,6974402,27475,1200,A,959,249976,95841535,,3578541,K20645,50,931.39,2698.55,5,414,806301.0
172,7131924,27475,1200,A,959,249976,11669064,,5405861,K81078,50,34.22,2698.55,5,414,806301.0
173,7022153,27475,1200,A,959,249976,06025182,06003198,4881447,K55352$,35,506.18,2698.55,5,414,806301.0
174,7083184,27475,1200,A,959,249976,98844035,,4161100,K30552$,50,238.46,2698.55,5,414,806301.0
175,7094086,27952,1200,A,929,250759,08552707,08470527,5093108,A45534,30,766.3,2212.42,7,293,238767.1
176,7103608,27952,1200,A,929,250759,10388109,,5270538,A51910,50,44.64,2212.42,7,293,238767.1
177,7037761,27952,1200,A,929,250759,07680021,,5023798,A43023,50,85.54,2212.42,7,293,238767.1
178,7091411,27952,1200,A,929,250759,08527084,08428269,5088120,A45245,50,938.67,2212.42,7,293,238767.1
179,7140255,27952,1200,A,929,250759,12295721,,5405676,A58291,50,134.27,2212.42,7,293,238767.1
180,7073985,27475,1200,A,959,241061,08968183,08713805,5117119,K65536,50,939.01,2440.81,2,621,670195.29
181,7073985,27475,1200,A,959,241061,08715173,08702258,5117119,K65536,50,612.58,2440.81,2,621,670195.29
182,7094910,27475,1200,A,959,241061,10276018,09595634,5193940,K69783,34,889.22,2440.81,2,621,670195.29
183,7144378,27475,1200,A,722,267770,05572556,05061969,4782960,K51784$,50,184.78,184.78,1,242,202902.78
184,7035805,38722,1200,W,2511B,105518,07349759,,K366191,A0189,50,1439.91,1439.91,1,55,1266501.63
185,6977029,28074,1200,A,859,227336,05151660,,4797415,A36448,50,80.64,270.05,2,83,363457.49
186,7138092,28074,1200,A,859,227336,10815343,10813192,5313897,A53253,30,189.41,270.05,2,83,363457.49
187,7004682,27899,1200,A,737,279975,06493938,06217856,4901151,K56298,50,758.86,1496.82,2,146,97402.46
188,6980674,27899,1200,A,737,279975,97550914,,4048480,K26450,50,351.34,1496.82,2,146,97402.46
189,6980674,27899,1200,A,737,279975,97550903,,4048480,K26450,50,386.62,1496.82,2,146,97402.46
190,6970377,27951,1200,A,727,380207,04485835,04211527,4690220B,K47995,50,157.06,1851.39,3,348,225146.11
191,7040667,27951,1200,A,727,380207,07933300,07759861,5024020C,K60980,50,734.93,1851.39,3,348,225146.11
192,6970377,27951,1200,A,727,380207,04485845,04211527,4690220B,K47995,50,850.22,1851.39,3,348,225146.11
193,6971165,27951,1200,A,768,231970,04230692,,4686046B,K47997,50,558.47,10137.76,13,202,253114.5
194,7022252,27951,1200,A,768,231970,06724414,06626746,4917425C,P45692,50,967.26,10137.76,13,202,253114.5
195,7084869,27951,1200,A,768,231970,09008805,,5129573C,K66725,50,802.93,10137.76,13,202,253114.5
196,7003775,27951,1200,A,768,231970,04604833,,4737477C,K49978,50,974.09,10137.76,13,202,253114.5
197,6969441,27951,1200,A,768,231970,04604477,,4737477A,K49978,50,1153.6,10137.76,13,202,253114.5
198,6973404,27951,1200,A,768,231970,03677557,,4628078A,K46294,50,243.27,10137.76,13,202,253114.5
199,6969436,27951,1200,A,768,231970,03206673,,4530597,K43050,50,973.08,10137.76,13,202,253114.5
200,6971165,27951,1200,A,768,231970,04230599,,4686046A,K47997,50,948.11,10137.76,13,202,253114.5
201,7148621,27899,1200,A,899,240715,01491413,,4430966,K39275,50,284.95,3241.67,5,125,186833.47
202,6972308,27899,1200,A,899,240715,97436593,,4037156,K26074,30,755.35,3241.67,5,125,186833.47
203,7015429,27899,1200,A,899,240715,05696143,05449714,4802988,K53092,50,251.22,3241.67,5,125,186833.47
204,7001794,27899,1200,A,899,240715,02611331,02096310,4478641,K41187,50,1270.35,3241.67,5,125,186833.47
205,7092364,28074,1200,A,879,269551,10105765,,5236634,A50827,51,1023.67,5909.75,2,40,301642.59
206,6978437,28074,1200,A,879,269551,05152255,,4752408,A36452,51,728.24,5909.75,2,40,301642.59
207,6978437,28074,1200,A,879,269551,05326291,05152255,4752408,A36452,51,1706.88,5909.75,2,40,301642.59
208,6978437,28074,1200,A,879,269551,05326281,05152212,4752408,A36452,51,725.06,5909.75,2,40,301642.59
209,7092364,28074,1200,A,879,269551,10376016,10105765,5236634,A50827,51,1008.0,5909.75,2,40,301642.59
210,6978437,28074,1200,A,879,269551,05152212,,4752408,A36452,51,717.9,5909.75,2,40,301642.59
211,7105839,28172,1200,A,717,279975,09071770,,5149691,A47367,50,155.21,233.06,3,143,318009.05
212,7124584,28172,1200,A,717,279975,10515592,,5281624,A52393,50,77.85,233.06,3,143,318009.05
213,7050525,27732,1200,A,862,325106,00647097,,4356183,K36884,50,447.52,1492.31,3,934,543343.8
214,7108622,28072,1200,A,729,226438,11078965,,5340890,A54391$,51,1071.25,2045.67,2,64,383451.78
215,7109050,28072,1200,A,729,226438,11214392,11078965,5340890,A54391$,51,974.42,2045.67,2,64,383451.78
216,6976100,27475,1200,A,864,295061,97594741,97157831,4005018,K24938$,50,777.21,1494.07,2,116,115297.74
217,7028575,26594,1200,A,756,257411,06839120,,4938127,A40262$,50,179.98,1429.65,2,74,292964.35
218,7055505,P81,0600,PB,12,237867,08658056,,,PAD,50,46.6,279.6,2,155,90634.8
219,7108640,P81,0600,PB,12,237867,10621601,,,PAD,50,46.6,279.6,2,155,90634.8
220,7108640,P81,0600,PB,12,237867,09661190,,,PAD,50,46.6,279.6,2,155,90634.8
221,7108640,P81,0600,PB,12,237867,10621602,,,PAD,50,46.6,279.6,2,155,90634.8
222,7108640,P81,0600,PB,12,237867,10710470,,,PAD,50,46.6,279.6,2,155,90634.8
223,7108640,P81,0600,PB,12,237867,09863508,,,PAD,50,46.6,279.6,2,155,90634.8
224,7002119,27475,1200,A,749,244199,05739425,04877862,4773471,K51217$,50,84.96,3667.26,4,613,494227.66
225,7002119,27475,1200,A,749,244199,05739425,04877862,4773471,K51217$,51,665.5,3667.26,4,613,494227.66
226,7090568,27475,1200,A,749,244199,10042668,09549887,5193191,K69565,50,858.25,3667.26,4,613,494227.66
227,7083466,28304,1200,A,965,380797,00136913,,4268840,A23202,30,806.31,1395.47,2,277,217196.35
228,7133129,28304,1200,A,965,380797,11866800,11378148,5375231,A55473,51,589.16,1395.47,2,277,217196.35
229,7132146,27506,1200,H4,858,381050,11076894,10919743,5288391,P75518,50,178.45,842.53,1,4,1504.29
230,7132146,27506,1200,H4,858,381050,11076848,10932362,5288391,P75518,50,315.0,842.53,1,4,1504.29
231,7132146,27506,1200,H4,858,381050,11076834,10931738,5288391,P75518,50,349.08,842.53,1,4,1504.29
232,7005599,28314,1200,A,859,240348,05220681,,4797010,A36622,50,316.37,316.37,1,97,264689.65
233,7060320,26594,1200,A,828,242361,04809003,,4700216,A35269$,30,107.5,442.19,3,127,1184580.35
234,7045406,26594,1200,A,828,242361,04809003,,4700216,A35269$,30,101.05,442.19,3,127,1184580.35
235,7039408,27475,1200,A,864,380797,04950281,,4777408,K51310$,50,102.48,2829.2,3,198,186799.66
236,7039408,27475,1200,A,864,380797,05447293,04950308,4777410,K51310$,50,953.45,2829.2,3,198,186799.66
237,7145540,27475,1200,A,864,380797,12435379,11050847,5338275,K77476$,49,592.92,2829.2,3,198,186799.66
238,7130000,27475,1200,A,864,380797,12004962,11817000,5421193A,K81931,51,1180.35,2829.2,3,198,186799.66
239,7028073,28071,1200,A,888,333541,06917531,,4882770,CA38446$,50,99.36,371.95,5,62,328559.48
240,7060054,28071,1200,A,888,333541,08512631,,5093830,A45687$,50,53.13,371.95,5,62,328559.48
241,7006428,28071,1200,A,888,333541,06317266,06267865,4861911,A38502,50,25.81,371.95,5,62,328559.48
242,7028063,28071,1200,A,888,333541,07234139,06953476,4883804A,CA38446$,50,88.31,371.95,5,62,328559.48
243,7060428,27973,1200,A,858,337971,07991120,,5048554,A44107,50,54.0,373.45,2,556,4817460.54
244,7014397,28113,1200,A,747,232904,02481500,,4509286,P18235,30,268.32,268.32,1,1002,1973537.96
245,6958952,27861,1200,A,727,228961,04337306,03926323,4663573,629371,51,403.38,1321.92,1,652,467285.51
246,6958952,27861,1200,A,727,228961,03926201,,4663571,629371,51,918.54,1321.92,1,652,467285.51
247,7104637,P57,0600,PB,716,249460,09679566,,,PAD,50,225.0,3589.48,28,171,183722.29
248,7097821,P57,0600,PB,716,249460,09257047,,,PAD,50,16.7,3589.48,28,171,183722.29
249,6993968,P57,0600,PB,716,249460,02448046,,,PAD,50,50.1,3589.48,28,171,183722.29
250,7088452,P57,0600,PB,716,249460,08899426,,,PAD,30,47.88,3589.48,28,171,183722.29
251,6921548,P57,0600,PB,716,249460,01632926,,,PAD,50,50.1,3589.48,28,171,183722.29
252,6925596,P57,0600,PB,716,249460,98652226,,,PAD,50,51.6,3589.48,28,171,183722.29
253,7137192,P57,0600,PB,716,249460,08899435,,,PAD,50,50.1,3589.48,28,171,183722.29
254,7124274,P57,0600,PB,716,249460,10172298,,,PAD,50,50.1,3589.48,28,171,183722.29
255,6925596,P57,0600,PB,716,249460,98652225,,,PAD,50,51.6,3589.48,28,171,183722.29
256,6993968,P57,0600,PB,716,249460,02448048,,,PAD,50,50.1,3589.48,28,171,183722.29
257,7014582,P57,0600,PB,716,249460,97614323,,,PAD,50,51.6,3589.48,28,171,183722.29
258,7014582,P57,0600,PB,716,249460,97614325,,,PAD,30,51.6,3589.48,28,171,183722.29
259,6925596,P57,0600,PB,716,249460,98652223,,,PAD,50,51.6,3589.48,28,171,183722.29
